GeneName,RPKM          Oligodendrocytes div1                  1,RPKM          Oligodendrocytes div1                    2,RPKM          Oligodendrocytes div1                    3,RPKM          Oligodendrocytes div2.5                    1,RPKM          Oligodendrocytes div2.5                    2,RPKM          Oligodendrocytes div2.5                    3,RPKM          Oligodendrocytes div4                    1,RPKM          Oligodendrocytes div4                    2,RPKM          Oligodendrocytes div4                    3,RPKM          adult microglia 1,RPKM          adult microglia 2,RPKM          adult microglia 3,RPKM          Astrocytes 1,RPKM          Astrocytes 2,RPKM          Astrocytes 3,RPKM          cortical neurons div05                  1,RPKM          cortical neurons div05                  2,RPKM          cortical neurons div05                  3,RPKM          cortical neurons div10                  1,RPKM          cortical neurons div10                  2,RPKM          cortical neurons div10                  3
Sh2b3,2.106691,2.065604,1.936041,1.44139,1.830064,1.250834,1.515465,2.299607,1.644644,8.125858,10.63952,9.23108,1.648899,3.07176,2.721265,1.487132,0.8283745,1.581336,1.773018,1.51737,1.546663
Nrsn2,2.104995,3.496559,3.115535,1.901102,2.262881,4.499377,3.577403,4.13596,4.621837,NaN,0.6308481,NaN,0.5931255,0.381015,NaN,17.99332,13.83454,9.344945,48.01011,58.67493,46.43386
Tgif1,2.102818,2.80683,1.307695,2.466411,3.131485,0.9728839,1.7828,2.32519,1.143271,10.88173,13.30413,15.93665,8.182311,10.69364,8.439815,0.1156674,0.1012471,0.09663852,0.3370969,0.2163686,0.3053709
Acap2,2.102725,2.322334,1.869643,1.836608,2.49217,1.999499,3.149934,2.517259,3.104098,2.25085,2.681566,3.276606,2.521217,2.348409,2.687248,1.136936,0.4523609,0.7771862,1.242542,1.836751,1.227927
Dip2a,2.102676,2.942227,2.507193,4.390988,4.288484,3.597313,5.807801,6.041975,8.631308,0.919891,1.187245,0.9656994,1.717311,1.944345,2.214195,1.90084,2.773104,1.676355,2.923752,3.555731,2.741515
2610005L07Rik,2.101319,0.977929,1.892553,1.308816,1.557883,1.8304,0.9382349,1.811985,0.763658,1.749835,1.447693,1.122594,0.6805631,1.311551,0.9125753,2.008787,2.344468,2.167822,2.256359,1.72226,1.988758
Tbc1d20,2.100646,2.025061,1.045075,1.108738,1.466367,1.749382,2.550008,2.546132,2.503813,4.680349,3.147723,4.437928,0.8455715,1.765343,0.5814549,2.253184,1.21371,1.592888,1.894211,0.8105441,1.677805
Fmnl1,2.100103,1.868804,1.306006,3.818002,4.104768,2.477651,4.127519,2.947392,3.227768,33.88604,29.29624,30.21237,4.367658,3.801296,4.287123,2.425879,1.97177,2.31633,4.292437,3.808573,2.668546
Gpank1,2.09929,3.405355,4.112327,1.831316,2.820936,3.824304,3.928726,3.398233,3.111285,4.488727,3.669974,3.326298,2.834358,3.681079,2.796446,2.42494,3.449262,4.558509,3.423155,3.685596,3.06764
Gfra2,2.097698,4.529771,4.383156,2.273415,1.968033,2.608745,1.493906,1.948404,1.326475,0.1688592,NaN,0.2363574,1.576186,0.7593886,1.463211,2.035405,1.951332,2.429362,3.5309,3.626143,3.753011
Sybu,2.096813,2.093131,2.527677,0.9932063,2.600868,4.779636,1.827435,1.728623,1.77072,0.2434442,0.0805636,0.1135854,3.560071,3.868328,3.281459,10.34041,14.75928,13.30915,11.87782,12.98239,13.60876
Mfap3l,2.096623,1.37707,1.564611,1.967316,1.379928,1.70446,1.523612,2.445721,2.217175,0.3874883,0.6411624,1.205287,2.290728,2.86561,2.943161,0.7908112,0.9518036,0.9497734,1.296401,2.588774,2.696746
Mapk1ip1,2.0962,1.718068,2.40133,1.9928,2.372029,2.46539,2.767824,2.758925,2.519279,1.554172,0.9919145,2.952358,2.59056,3.095294,2.244553,3.695777,4.015893,5.323744,6.313941,5.959792,4.598193
Zcwpw1,2.095504,0.9517798,1.93843,2.688255,1.66391,3.562913,4.981544,5.497548,4.600999,1.5814,1.439175,1.66015,2.337204,0.8297125,0.3806459,1.815425,1.853945,0.6319845,1.432928,1.556479,1.464486
Rps6ka2,2.095262,2.398347,2.432259,4.455094,3.150235,2.609891,3.304341,3.310743,4.482507,1.24335,1.502741,1.513352,2.825765,1.799022,2.446262,3.599401,4.074134,3.0591,3.707661,3.598714,3.331407
Mmp19,2.094673,1.652722,1.021262,0.9630883,1.473896,1.221086,0.8814895,2.095255,0.6622811,2.697852,2.176216,2.00614,4.092173,1.971563,3.084545,0.09678428,0.3388727,NaN,0.1410323,0.09052283,NaN
Pik3cb,2.094587,2.547323,2.448843,2.505892,2.339421,2.674649,3.341773,2.405168,2.470312,4.998046,3.885941,6.743052,5.171214,4.11628,3.884512,2.28125,2.904504,2.54127,2.065031,3.103512,3.102591
Lama5,2.091686,2.092087,0.5774158,3.14149,2.742164,0.5204519,3.447439,2.89327,1.613016,0.2566696,0.0254821,0.1437073,8.672925,7.549035,10.67573,0.3830492,0.1031675,0.1723251,0.4508316,0.413386,0.622326
Eif2b3,2.08935,3.687483,2.6073,2.172878,2.246063,1.962305,1.85995,2.488012,1.957327,1.331482,1.113172,1.275174,1.439087,1.386672,1.956677,1.769869,1.830896,1.747556,2.051495,1.12866,1.34514
Rasgrf2,2.088063,1.548408,1.082099,2.694015,2.526479,2.656657,0.9656127,2.042465,1.222576,0.2501244,0.09932914,0.2800854,0.7471169,0.674911,0.8669579,15.39067,12.01413,10.50766,19.03786,17.40288,19.20445
Slc39a4,2.087973,1.490279,0.3408465,1.7143,2.295596,1.648265,2.006578,1.282036,0.5730579,8.1412,6.909288,11.21169,8.457234,8.621619,5.815594,0.602967,0.1319488,0.2518853,0.6589745,0.281979,0.2653133
Irgm1,2.087036,3.114638,0.6813869,2.67739,3.314372,1.90099,1.583429,1.863943,0.5728006,7.481291,8.469851,6.062615,0.8575951,1.298565,1.010953,0.150674,0.1318895,0.1258861,0.2195595,NaN,0.5303883
Faxc,2.083363,2.77625,2.896721,2.093466,2.036025,2.688802,2.717763,2.166145,2.457855,0.09386492,0.09318885,0.08759038,1.022192,0.9849616,1.054362,5.423701,5.785068,5.311674,6.856523,5.879091,6.290243
Filip1l,2.083133,1.640633,0.8755474,1.297488,0.9125997,1.326023,1.162643,1.411381,0.5046991,1.662412,2.36802,2.023416,0.8770748,0.7151097,0.8350866,NaN,NaN,0.3466226,0.06045488,NaN,0.2920808
Rbm28,2.081863,2.665646,4.229233,3.418566,2.44147,2.899199,3.20113,4.09051,3.656838,2.583595,2.63431,2.150254,2.150895,2.763405,2.218585,2.164329,1.684002,2.745887,2.102547,1.649436,1.763579
Klf16,2.081182,2.388063,3.147047,2.51812,2.783223,3.937649,2.393414,1.36958,1.346816,3.196292,3.50154,2.931206,3.29216,4.16358,4.032473,6.073323,6.423696,4.862754,7.928069,6.27212,5.45603
Zfp367,2.080869,1.814654,0.5797321,5.193738,3.172395,2.587816,2.424961,1.858435,2.266157,2.345063,2.910216,3.399686,8.912179,9.265541,9.999025,0.5768787,0.8415986,0.9639484,1.821337,1.348894,2.45373
Slc10a7,2.080639,2.907779,2.50818,2.82523,3.597488,2.099258,2.201912,2.358523,2.741017,4.106629,3.037803,3.268569,2.630667,2.245154,2.558402,0.6470683,0.5663982,0.7723095,0.8081968,0.3458321,0.4880888
Tmem39a,2.07965,1.177657,1.234501,1.086569,1.662869,1.193959,1.377012,1.181948,1.162302,1.997463,0.7554575,0.7988311,1.864495,1.53993,1.740013,0.7643533,0.6690614,0.4561476,0.6364583,1.429807,0.6726508
Gm6578,2.079166,2.466898,2.327375,0.487734,1.741649,2.30866,0.9614989,1.326367,0.7825933,0.8966115,1.780307,1.255014,0.5579504,1.075257,1.151019,2.058596,1.2013,2.006583,1.499874,2.246318,1.207745
Zbtb4,2.079166,2.081445,1.745532,2.225286,2.177061,2.416878,2.493888,2.652735,2.021699,8.368374,9.235344,9.569484,7.044124,6.283533,6.690299,2.916344,3.228495,3.045707,5.124571,6.69884,5.623563
Tpm2,2.076901,3.162403,1.205472,4.092502,5.141931,1.614301,5.826738,7.048588,1.580853,0.5572838,0.276635,0.1950118,6.242236,6.140189,4.829013,0.1599386,0.5599961,0.267253,0.3495894,0.4487741,0.4222503
B230120H23Rik,2.076694,1.930719,1.835014,4.097185,3.029116,3.04157,5.694049,6.117764,4.328312,2.245547,3.34406,2.44468,6.404642,5.638387,6.426032,0.8234822,0.9401982,0.6580947,1.252136,1.607389,1.606912
Tmppe,2.076134,1.495575,1.438655,2.156815,2.360218,1.564305,2.777422,1.929888,2.158295,4.945487,4.571256,4.833709,2.586706,2.607529,2.421824,1.615109,1.756481,1.30851,1.961256,1.693725,2.58425
Efcab7,2.076064,2.984282,0.9732583,3.277927,3.121371,2.172221,2.714027,1.99677,1.68307,1.285521,0.9571966,0.6747686,4.049818,4.335904,4.022555,1.475761,1.45325,1.232978,1.075226,1.725358,2.1104
Clip4,2.074923,2.982642,1.528566,1.790949,1.819799,0.8787494,3.056985,1.520513,1.775598,0.1070679,0.2657419,0.1498662,10.44379,9.004095,7.422176,1.9666,1.990396,1.386338,3.358235,3.103938,2.758238
Rimkla,2.072371,1.780536,1.430969,1.642818,2.304632,4.998972,4.68438,3.254935,4.895395,0.07190537,0.07138748,NaN,0.3355938,0.2586965,0.4153862,5.778248,7.58681,5.793176,6.375112,6.716928,8.208656
Polr1e,2.072104,2.560957,3.264439,1.701271,1.832162,1.629746,1.836613,2.819973,2.426465,0.893566,0.78856,1.250751,0.8340828,0.8037034,0.9559245,1.823647,1.895598,1.90454,1.74391,1.599062,2.006071
