GeneName,RPKM          Oligodendrocytes div1                  1,RPKM          Oligodendrocytes div1                    2,RPKM          Oligodendrocytes div1                    3,RPKM          Oligodendrocytes div2.5                    1,RPKM          Oligodendrocytes div2.5                    2,RPKM          Oligodendrocytes div2.5                    3,RPKM          Oligodendrocytes div4                    1,RPKM          Oligodendrocytes div4                    2,RPKM          Oligodendrocytes div4                    3,RPKM          adult microglia 1,RPKM          adult microglia 2,RPKM          adult microglia 3,RPKM          Astrocytes 1,RPKM          Astrocytes 2,RPKM          Astrocytes 3,RPKM          cortical neurons div05                  1,RPKM          cortical neurons div05                  2,RPKM          cortical neurons div05                  3,RPKM          cortical neurons div10                  1,RPKM          cortical neurons div10                  2,RPKM          cortical neurons div10                  3
Mir703,90816.54,69838.88,90162.91,59920.88,69281.87,66172.13,59496.29,56164.65,61934.62,89908.98,77544.65,78178.5,47616.45,40134.51,46868.74,59035.45,54787.82,56532.63,46087.75,46794.23,45469.81
Tuba1a,14432.08,15236.81,16149.72,15102.52,13743.53,15170.54,7182.18,6440.931,7700.586,1027.167,884.7971,873.5578,5528.952,6380.992,5927.596,20040.9,20266.35,22431.57,14294.45,13296.79,12293.2
Uba52,10448.79,12967.86,11861.08,7003.46,8263.806,8441.87,8619.679,8638.113,8232.7,11897.72,11157.63,12656.67,5291.616,4904.102,5171.597,8965.464,9638.586,8716.903,7425.447,7409.609,7056.563
Tpt1,6809.276,6663.732,6970.815,5658.152,5676.504,5766.216,6492.751,6456.047,6783.938,6569.125,6468.578,6427.625,4390.734,4990.107,5019.99,5545.226,5328.977,4703.518,3247.968,3416.813,3366.48
Rpl41,6674.783,6435.908,6163.861,5487.138,5393.886,5621.415,6697.608,7537.555,6781.563,5628.476,8241.657,7305.195,4436.5,5020.284,4255.835,5294.084,5952.858,5246.697,4899.392,4819.477,4746.402
Eef1a1,6196.726,4959.942,6190.241,4110.525,4758.826,4579.473,4097.653,3895.188,4291.64,6135.425,5402.337,5341.163,3372.573,2844.291,3341.224,4114.018,3831.96,3996.021,3212.535,3294.032,3172.303
Cox6c,5274.43,4799.471,4883.188,5178.764,4820.464,5076.838,5317.721,5184.624,5167.431,3650.496,3676.703,3802.594,3861.495,3621.543,3572.353,4112.669,4364.31,4049.724,4253.36,5463.857,5472.033
Rpl36,5006.122,5083.112,5527.316,3086.461,3374.579,3406.913,3716.33,3884.551,3424.448,3595.161,4084.051,4169.756,2425.373,2704.579,2775.52,2617.628,3056.254,2657.454,1984.669,1916.214,2053.271
Rps18,4995.417,5783.511,5746.903,3611.211,3321.606,3591.477,3665.375,4213.384,3406.216,4681.746,5025.162,5591.247,1895.806,2133.306,1785.755,3121.778,3312.735,2786.898,2235.308,2486.185,2552.262
Rplp2,4707.112,4603,4695.145,3096.74,3069.346,3215.287,3020.941,3199.729,2957.372,4172.334,4466.032,4064.442,2138.776,2222.432,2225.229,2806.151,3075.713,2629.934,2130.464,1844.626,1942.51
Tubb2b,4501.223,4065.03,4754.067,3012.793,2788.224,3494.734,1940.136,1635.725,1797.293,196.4857,190.994,179.6616,1637.878,1617.89,1564.232,7894.704,7473.761,8556.313,5163.708,4616.198,4312.025
Gm1821,4331.72,3243.36,4052.646,4039.775,4448.33,4962.574,3963.364,4020.174,4448.182,3138.953,3554.106,3024.279,4276.528,4652.363,4879.086,6302.204,5742.332,5918.62,6115.118,6414.354,6199.277
Rpl27a,3778.711,4329.221,4080.873,2531.08,2633.119,2618.529,2854.652,3119.782,2751.775,4342.636,4638.083,4804.757,1826.443,1953.784,1703.224,2854.297,2865.335,2515.067,2096.104,2145.814,2064.931
Tuba1b,3663.847,3601.949,3859.844,3831.911,3718.906,3606.519,2127.969,1954.086,2143.25,1343.024,1360.289,1319.341,2501.304,2630.013,2521.287,4934.234,4462.181,5109.447,3562.327,3533.041,3289.443
Ftl1,3493.957,3260.465,2494.665,2556.888,2903.274,2870.927,3357.132,3425.11,3463.393,21787.76,20727.35,24333.81,1595.96,2006.444,1662.433,1964.185,1762.308,1667.639,1515.521,1342.729,1459.725
Rpl10a,3431.973,4372.158,3626.946,2171.517,2050.156,2151.436,2363.61,2514.356,2054.528,2688.061,2970.078,3015.273,1580.815,1704.418,1496.295,1906.981,2127.155,1991.149,1547.29,1402.839,1316.014
Rplp2-ps1,3386.929,4011.905,3483.081,2325.466,2235.667,2420.709,2318.95,2371.416,2158.825,3088.41,3232.542,3134.715,1601.64,1707.737,1526.172,2106.041,2277.827,2005.935,1680.834,1570.735,1585.28
Erh,3357.798,3637.138,3734.755,3139.296,3177.666,3045.481,2743.448,2604.28,2703.638,1731.454,1433.082,1641.073,2199.502,2260.23,1836.189,2864.995,3033.036,3344.846,2604.369,2618.19,2457.265
Rpl10,3337.521,3450.51,3646.331,2254.218,2424.66,2613.59,2349.978,2424.027,2161.024,4260.159,4836.867,4425.859,2476.818,2852.551,2822.384,3047.395,2851.835,2762.93,2206.774,2128.208,2111.257
Tmsb4x,3230.934,3150.367,1924.744,3254.306,4267.229,3124.368,3713.665,3562.038,3399.26,14533.62,14257,12015.74,5318.3,5444.783,6135.047,3476.209,3297.97,3444.1,3096.498,3569.375,3218.701
Actb,2932.265,2644.597,2774.492,2525.292,2845.8,2707.59,2297.849,2226.987,1737.797,2769.456,3343.869,2827.123,1884.588,2009.26,2061.294,1963.747,2276.353,2228.836,1624.255,1347.247,1385.489
Scrg1,2915.267,2380.745,3436.299,2159.805,1826.621,1916.769,1250.996,1355.376,1554.443,43.42674,41.04117,50.26512,274.7866,231.7279,221.521,79.09418,63.35915,67.6841,141.4489,76.21893,125.7107
Rplp1,2826.063,2794.11,2958.16,2088.93,1928.987,1728.982,2085.136,2466.319,2345.191,3894.773,4059.561,3898.144,1093.683,1341.466,1122.089,1699.265,1731.555,1567.674,1266.279,979.7524,1099.78
Rps23,2647.901,2308.84,2698.598,1669.084,1689.01,1525.587,1459.654,1525.305,1779.442,3746.121,3728.028,3083.622,1168.532,1241.553,1437.038,1877.272,1630.531,1615.413,1250.59,1317.008,1221.611
Gm9846,2514.206,2269.267,2856.029,1618.357,2055.519,2325.769,1927.028,2187.547,2056.533,2024.039,3010.407,2691.988,2255.459,2459.071,2540.975,2687.327,2773.719,2470.316,1894.185,1973.115,1865.914
Ubb,2498.706,1826.296,2349.549,2325.036,2582.534,2852.134,2286.09,2306.656,2593.082,1800.69,2062.467,1736.276,2485.048,2717.69,2874.875,3703.735,3322.416,3462.844,3563.525,3690.951,3590.163
Ppia,2492.445,2773.209,2755.187,2669.861,2722.786,2651.692,2121.528,2336.347,2374.122,2604.844,3170.011,2806.686,2230.893,2555.777,2151.977,3493.652,3533.395,3652.146,3515.058,3826.237,3682.344
Cox8a,2471.557,2653.335,2550.428,2267.738,2425.816,2517.835,2786.098,2746.229,2675.774,2083.61,2206.51,2012.642,1904.858,1842.714,1843.974,1723.317,1885.184,1715.526,2112.393,2491.162,2298.956
Rpl38,2468.492,2411.934,3021.556,1707.258,2401.985,2499.969,1732.415,1915.434,1900.567,1696.788,2279.59,1849.551,1516.252,1496.602,1897.677,2408.118,2715.543,2426.042,1730.982,1981.672,1606.506
Myl6,2222.196,2161.638,1987.429,2358.605,2188.347,2098.365,2119.99,2298.177,1719.811,1767.102,2127.746,2150.289,2414.214,2532.235,1964.469,1179.347,1325.558,1223.67,1471.655,2002.664,1695.294
Tubb5,2211.562,2143.999,1975.552,1965.725,1846.94,2199.075,1157.479,1086.793,881.7983,961.5357,983.6841,969.7033,651.6129,585.9348,552.6341,4704.566,4912.252,4887.707,2946.048,2782.817,2510.499
Rpl32,2186.162,2265.427,2339.4,1460.351,1515.2,1534.365,1368.539,1485.589,1448.242,2211.934,2730.896,2269.723,935.4437,1047.428,1027.98,1563.242,1558.92,1476.835,1201.054,1141.416,1047.004
Rps13,2136.743,1731.225,2203.169,1268.732,1459.929,1494.092,1504.23,1569.998,1482.533,1553.384,2028.838,1767.293,1020.094,1138.331,1357.316,1534.771,1570.533,1487.002,1031.267,1081.733,1081.729
Rps29,2107.909,1543.462,2367.609,1800.995,1946.458,2008.924,1921.078,1889.902,2173.799,4328.969,4241.24,3733.616,1780.441,1999.391,2333.656,2312.721,2365.559,2219.065,1587.236,1686.703,1737.69
Chchd2,2034.063,2659.522,2104.974,1738.967,1747.319,2158.002,1869.842,2346.056,2264.729,1961.912,1815.761,2009.256,2028.294,2185.25,1869.151,2987.511,1994.7,1485.538,2963.575,2597.996,1843.476
Dbi,1994.433,2404.125,2469.334,2704.836,2510.033,1805.159,3356.845,3291.548,2928.292,437.0698,459.6299,529.4038,9207.267,9215.627,8367.553,375.6371,363.8948,353.7281,783.6472,578.8185,770.9346
Hint1,1993.583,1935.651,2319.642,1676.553,1841.334,1832.069,1421.538,1432.762,1606.936,2410.929,2573.926,2268.708,1464.135,1557.319,1504.838,3372.988,3455.775,3311.128,2760.581,3251.759,2805.29
Rps9,1976.815,2253.901,2300.277,1621.338,1553.109,1592.231,1409.181,1544.447,1819.628,2589.08,2156.818,2306.402,1096.784,1244.569,1176.137,1453.896,1334.892,1251.797,926.101,1005.814,955.189
Eif1,1964.101,2004.96,2170.499,2261.14,2106.778,2172.57,1705.59,1668.241,1719.516,1588.919,1565.014,1443.627,2075.91,2352.209,2209.331,2179.281,2119.572,2227.971,1823.603,2085.978,2130.211
Mir682,1960.802,2340.373,2033.803,1242.198,1446.058,1531.705,1508.472,1437.716,1480.259,2298.781,2590.551,2804.277,1205.033,1218.653,1219.505,1405.12,1734.771,1533.155,1128.171,1085.373,1018.148
Rps4x,1957.818,2040.129,2263.759,1461.777,1494.305,1398.925,1347.185,1426.906,1408.432,2333.691,2136.674,2113.396,1276.98,1491.869,1661.88,1550.966,1427.348,1329.414,971.4991,896.028,888.2407
Rps24,1919.553,2518.437,1963.145,1347.332,1397.706,1429.876,1207.404,1431.798,1460.192,2658.051,2893.61,2774.635,941.3682,1009.838,911.8143,1607.194,1403.133,1345.352,1231.059,1276.533,1263.52
Rpl35,1860.545,1755.426,1905.763,1182.484,1369.826,1433.022,1466.69,1568.104,1368.195,1724.672,2451.85,2452.093,973.0408,1013.213,1002.418,1627.274,1822.741,1626.889,1155.869,1241.484,1140.017
H19,1854.355,621.9547,619.5524,167.7266,144.1699,59.03701,1793.31,915.6209,839.8162,20.90219,15.97988,16.27151,137.6187,115.9174,126.9906,21.30076,21.22856,18.01091,19.63316,20.64281,19.76153
Swi5,1758.065,1827.925,1800.324,1660.197,1462.692,1502.674,1627.545,1818.765,1729.073,1121.607,987.3265,1096.353,1320.847,1330.591,1079.892,1228.606,1226.884,1141.835,1334.769,1556.954,1592.971
Tmsb10,1747.935,1551.052,1933.235,1348.271,1541.588,1978.192,1016.579,1089.684,936.1531,620.3334,679.4759,539.2128,668.749,699.4006,716.561,4947.251,4432.64,5000.815,3742.707,4621.504,3970.149
Rpl39,1741.461,1597.446,1969.987,1363.819,1457.632,1368.905,1391.426,1447.319,1583.85,1680.327,2036.486,1617.847,994.4036,1133.674,1229.981,1511.683,1391.06,1402.453,1129.942,1253.777,1181.924
Pebp1,1714.427,2019.707,2143.728,1371.891,1303.198,1392.066,1465.412,1442.929,1426.285,467.3758,520.4763,534.7827,2007.966,2056.494,1975.683,1781.373,1940.725,1755.379,1640.826,1898.987,1888.681
Rps7,1707.267,1557.161,1885.889,1234.7,1321.663,1385.03,1403.914,1512.62,1430.136,1334.643,1720.909,1525.847,830.7214,946.0034,847.4938,1808.345,1881.506,1757.647,1282.436,1227.285,1145.223
Actg1,1681.433,1586.072,1680.624,1460.982,1386.618,1473.754,1063.723,1032.271,757.5635,692.4653,735.1278,635.9517,1073.056,1059.652,1002.518,1412.362,1540.391,1652.634,1271.836,1602.685,1488.318
Atp5l,1659.696,1519.061,1644.642,1702.523,1714.953,1627.382,1579.616,1682.045,1895.786,1474.012,1521.094,1405.254,1225.377,1260.179,1240.9,1412.847,1436.527,1437.263,1429.705,1771.1,1639.369
Ptma,1649.843,1598.466,1567.097,1556.865,1711.192,2087.392,1859.786,1779.933,1824.832,1067.172,1186.809,1308.407,1878.277,1996.896,1711.682,1815.41,2014.383,1940.33,1257.47,1282.753,1157.145
Rps28,1581.257,1665.597,2002.383,1369.016,1435.071,1362.834,1478.816,1666.906,1669.628,1801.147,1726.942,1665.316,677.5054,825.6839,857.1819,1333.995,1244.035,1136.825,966.7035,840.7528,832.6018
Fus,1561.931,1679.451,1744.709,1862.617,1513.663,1863.446,1479.362,1274.817,1347.986,884.6531,808.5665,886.3845,1233.244,1200.302,955.3771,1725.431,1724.398,1734.845,1582.223,1471.52,1256.439
Fth1,1554.722,1698.885,703.7384,1102.991,1350.045,1277.149,1343.26,1136.53,1098.184,7809.613,9234.291,7588.131,1631.419,1871.725,1709.093,394.3497,373.4618,383.1478,474.0179,489.5199,490.6124
Rps20,1534.038,1485.663,1516.945,995.8169,1138.948,1102.51,1093.48,1226.385,1073.356,1396.263,2155.615,1676.474,872.8634,999.2307,1030.954,1257.314,1249.764,1074.482,835.7109,794.6096,761.1754
Rps26,1528.311,1318.732,1842.616,1003.518,1127.317,1169.884,1055.265,1113.612,1271.641,1172.444,1296.139,1142.472,587.6974,653.143,728.0594,965.4584,1053.582,1034.41,730.71,514.1976,448.2137
Atp6v0c-ps2,1512.467,1327.7,1319.963,1396.879,1512.634,1734.045,2258.765,2056.239,2109.234,2790.14,2911.505,2747.936,1072.072,1111.565,1107.069,1543.295,1656.432,1588.557,2237.928,1391.8,1294.221
Rps15,1498.635,2360.63,1654.077,856.2311,894.0863,1001.335,905.218,1053.157,907.1125,1183.18,1157.981,1295.593,677.3903,668.8345,624.3088,971.2983,1037.016,915.1601,768.0966,586.2004,563.434
Atp5g3,1495.228,1542.535,1653.773,1832.847,1631.001,1538.36,1377.627,1458.428,1857.644,1345.678,1435.137,1105.085,1050.767,1257.198,1099.585,1827.493,1727.702,1893.9,1788.409,2229.716,2114.459
Rpl23,1493.476,1564.97,1785.36,1097.289,1082.092,1182.883,1128.282,1192.386,1264.817,1883.131,2150.74,1720.523,871.6935,964.463,978.6248,1260.37,1171.276,1118.226,887.6771,937.6862,918.1354
Pomp,1470.651,1530.078,1538.467,1449.208,1374.578,1295.045,1310.911,1368.232,1589.494,1864.876,1585.766,1469.875,1169.783,1171.948,1161.354,1217.401,1130.854,1178.303,1012.891,1231.426,1198.474
Atp6v0c,1469.103,1289.634,1282.119,1356.829,1469.266,1684.329,2194.004,1997.286,2048.761,2710.144,2828.03,2669.15,1041.335,1079.696,1075.329,1499.048,1608.941,1543.012,2173.765,1351.896,1257.115
Uqcrh,1463.087,1314.572,1416.934,1534.974,1395.526,1551.768,1581.452,1771.873,1700.836,887.0575,1119.836,1064.799,1102.344,1134.901,1105.595,1179.96,1303.441,1063.373,1083.591,1338.142,1179.011
Rpl19,1447.755,1989.667,1898.853,1394.57,1307.651,1644.668,1490.828,1685.216,1569.417,1812.957,2115.684,2187.981,1019.837,1300.132,778.199,1104.609,1240.913,1343.234,902.2965,884.2176,943.8394
Ndufa2,1446.955,1260.472,1355.855,1284.033,1205.32,1314.067,1374.523,1620.381,1328.195,1511.758,1808.065,1611.79,1068.142,1106.269,941.6272,782.7411,906.1393,773.7402,835.5746,1009.161,971.2874
Nedd8,1431.697,1408.2,1435.527,1442.501,1327.486,1536.814,1517.518,1583.344,1454.469,1343.49,1354.542,1354.494,1253.15,1238.077,1053.704,1290.924,1442.731,1352.844,1254.074,1211.057,1200.305
Cldn11,1429.17,1218.073,1795.08,4174.293,3791.097,3442.587,3756.737,4129.519,4793.823,61.05101,54.72068,62.50669,92.25764,89.17826,91.70339,57.8969,64.48615,62.00011,57.20194,63.87503,73.50794
Rps27,1412.705,1275.077,1604.772,909.3372,1154.974,1306.824,1082.776,1229.159,1155.544,1137.286,1691.515,1512.599,1267.318,1381.725,1427.746,1509.98,1558.523,1388.044,1064.322,1108.672,1048.437
Pfn1,1395.35,1175.462,917.7368,1116.573,1147.628,1050.753,933.8607,898.1905,794.4077,1790.057,1703.783,1384.474,775.5491,730.0772,671.5363,355.2213,337.6068,377.0202,344.2384,389.5978,381.1665
Hmgn2,1369.747,1066.587,1361.146,2470.987,2042.233,2003.094,1694.535,1341.255,1497.387,676.1953,606.2983,649.9173,1659.219,1779.923,1697.522,941.8978,989.1314,1051.194,665.3976,583.8875,624.9677
Rps27a,1363.641,1544.547,1586.381,1038.779,1139.737,1039.535,1160.279,1277.598,1510.549,2485.856,2565.751,2346.308,650.4391,754.3254,809.2889,1217.377,1191.099,956.1788,763.1544,693.575,727.0859
Mif,1362.783,1504.081,1571.317,1093.493,1211.908,1369.903,1505.147,1673.7,1638.513,848.9228,907.2369,965.9714,406.7942,402.4178,421.6283,1915.185,2049.663,1877.423,1674.729,1572.046,1561.752
Fau,1357.528,1579.937,1461.025,1172.262,1050.641,1240.936,1175.2,1503.867,1243.39,2325.956,2656.686,2947.951,733.9417,903.4117,712.3115,1239.518,1262.726,1091.504,926.5123,936.8807,978.8709
H3f3a,1346.618,1381.486,1527.556,1369.391,1399.92,2056.161,1262.17,1416.056,1332.058,720.959,798.0228,763.135,1118.229,1221.411,1047.494,1576.716,1693.792,1629.981,1085.162,1042.156,959.4301
Rps8,1320.548,1344.468,1394.412,829.9223,868.1624,902.7662,831.3801,970.4365,816.4013,971.2896,1269.778,1248.414,514.7047,626.6975,509.9862,879.688,986.7335,838.0142,612.8507,647.6186,627.2996
Rps12,1295.425,1122.477,1378.789,857.7782,954.6992,845.0663,909.0313,1049.77,1070.246,1738.537,2052.059,1680.769,653.6518,846.0518,945.3245,1135.562,1049.56,975.8071,736.2704,733.7133,661.8455
Rpl23a,1281.479,1313.673,1379.91,885.3158,938.0009,950.7083,917.2157,969.5258,904.1206,916.1028,1298.328,983.6797,613.5189,724.2692,676.6263,1126.107,1242.653,1195.116,790.2943,769.1672,804.53
Sirt2,1275.003,807.77,923.3929,1804.831,1849.162,1785.056,1381.622,1496.466,1720.967,120.6522,104.2067,117.0525,213.9645,236.0882,241.2423,85.55383,72.6806,76.44495,83.46161,67.04744,85.11686
Rpl17,1257.163,1844.491,1459.688,929.6959,940.679,863.0886,968.8596,1008.291,913.8428,1621.768,1770.721,1898.385,758.3129,889.1119,837.0099,1330.947,1303.35,1249.811,948.2651,835.4289,810.8193
Metrn,1247.207,1201.003,1315.568,1691.911,1499.424,1110.091,1621.803,1554.912,1538.24,141.537,127.7433,144.683,1776.148,1667.864,1565.486,60.56168,62.06219,61.08838,116.2309,68.6171,126.7401
Mir684-1,1245.387,1359.858,1195.866,1140.201,1152.603,1390.535,894.6176,945.626,928.2435,456.7592,522.0391,557.0854,1048.965,1202.271,791.0003,1425.435,1507.318,1663.425,1326.445,1316.418,1224.351
Cfl1,1230.163,1011.968,1077.636,1145.575,1375.086,1371.121,1064.64,1155.636,1200.21,996.1248,1132.33,859.7357,727.9514,808.4629,1053.677,1154.874,1157.01,1196.69,968.4197,827.813,790.8584
Rpl37a,1230.133,1167.846,1247.766,899.2496,937.1224,1020.457,1070.683,1083.196,979.2824,1179.621,1432.69,1407.618,688.1265,683.6302,647.5627,1058.584,1159.886,1011.733,806.6161,899.3621,836.6655
Rpl11,1227.977,1279.423,1321.594,812.6733,918.098,935.5522,803.41,860.8608,936.3188,1113.576,1147.57,947.7598,631.1096,730.2787,818.6885,789.7314,788.1926,754.675,587.7386,572.2081,554.2971
Grn,1226.081,1186.535,881.0049,1524.654,1440.13,1555.007,2012.393,1627.128,1379.296,13486.18,11447.15,14091.38,1487.451,1522.523,1316.891,251.6993,242.3519,232.6423,305.1541,287.8797,313.0139
Cd81,1224.15,960.7592,1085.772,1961.749,1883.615,1544.476,1831.909,1743.769,1843.525,340.8187,368.7593,321.0009,1955.337,1933.824,2116.428,318.3094,276.6908,318.393,379.6036,368.8375,371.7433
Dynll1,1192.573,1245.111,1079.208,790.9154,740.6953,812.4865,628.8359,653.0225,662.4929,176.0136,184.6534,169.4437,364.5037,408.3345,343.6689,449.2832,437.5976,438.9026,429.321,506.4032,460.401
Cd63,1136.648,1119.606,827.0316,1234.299,1194.366,1037.133,2264.613,2163.151,2072.616,3352.483,2837.851,3372.094,2089.995,2105.493,1574.395,174.7594,151.8348,146.2805,196.909,159.2,186.9526
Ap2s1,1135.383,1114.101,974.235,1092.387,1060.492,1207.804,1478.276,1424.956,1392.32,1533.269,1534.589,1468.886,863.3024,768.934,728.5994,1169.383,1339.766,1270.702,1222.398,1256.551,1235.571
Rps16,1130.31,1301.445,1225.885,749.2451,808.7366,802.6449,780.1813,842.0118,693.6093,1038.005,1174.916,1170.857,603.3485,690.3805,617.7604,860.4294,889.2728,817.7966,653.138,630.2369,602.111
Gm6654,1129.01,1231.846,1378.875,766.559,835.3403,866.9892,814.1653,858.7133,917.7994,916.1078,984.1431,888.2013,436.2789,459.4456,483.2763,693.6152,782.153,729.0848,559.2567,469.2599,440.582
Rps11,1116.598,1185.273,1261.6,735.3149,884.2049,842.4814,841.9376,920.5291,748.4244,1075.958,1358.398,1268.861,607.3132,672.9724,682.9912,789.2697,860.6619,785.6273,517.3869,588.064,552.8173
Rpl14,1107.277,1061.491,1046.255,659.3877,635.182,715.3943,710.288,705.337,622.6697,824.0541,841.7065,934.6649,413.7796,469.8465,406.0334,645.263,645.5511,611.9689,448.9533,415.8835,421.6226
Eef2,1102.266,1150.57,1174.228,750.6656,817.4164,899.6879,877.9342,954.4789,859.6903,860.4798,797.8356,880.8273,548.1398,515.4542,592.171,733.2333,792.6594,791.1249,503.7856,415.6897,429.2237
Fkbp1a,1101.77,1006.18,1012.557,1418.222,1351.456,1386.058,1520.541,1416.235,1479.603,315.2729,280.1104,304.4201,638.6166,585.558,540.0394,962.8947,930.5543,956.8745,911.0252,911.1191,851.871
Tbca,1101.318,901.1374,1162.975,929.3515,928.9877,954.4322,871.6426,780.8914,787.1862,1240.076,1335.567,1261.566,1075.621,1149.862,1122.34,2371.539,2185.074,2200.985,1695.317,1733.31,1727.145
Rpl13a,1088.344,986.4489,1081.392,561.3862,649.6791,583.4479,725.6519,790.4499,726.8339,861.787,960.5123,825.0483,564.2902,615.2277,656.6564,748.2855,736.2988,638.8445,488.959,478.4112,424.2328
Rpl24,1071.259,1173.002,1162.483,816.6672,865.4634,845.0382,804.6259,913.9536,777.3998,1021.958,1030.41,1026.753,530.808,615.6282,569.0654,844.0667,939.1188,789.0216,622.1806,622.601,611.8973
Rpl9,1063.391,1160.556,1144.191,720.4404,789.0148,675.025,721.7965,832.7049,789.6571,1043.394,1065.898,970.6367,594.5981,615.7307,703.3663,796.9917,837.4,755.9738,654.8679,594.7859,615.0255
Gm13826,1049.696,958.402,1272.601,676.8641,775.1331,770.614,719.9328,786.926,705.4065,1067.868,1271.364,1150.793,594.5906,681.865,754.9493,865.8377,887.7849,769.5618,603.8937,623.1006,597.254
Atp6v1g1,1034.918,1129.056,986.8739,1115.264,1006.467,1143.911,1569.466,1622.374,1678.272,1128.533,1169.256,1161.523,916.8646,963.567,773.2084,713.4682,764.2578,806.9313,668.1248,769.2448,753.4987
2010107E04Rik,1033.028,780.7985,1051.128,913.4951,980.7772,984.3381,1096.211,1013.583,1065.935,627.0336,713.1521,612.0206,756.4707,675.6178,883.5948,904.609,883.5679,919.3889,967.871,1154.769,1003.19
Saa3,1026.286,1272.762,229.5701,442.868,603.5977,641.0052,229.7738,195.9217,94.17059,2355.978,3183.347,2787.663,20.55275,18.81396,21.72955,30.96423,19.35994,22.17444,22.56026,27.77892,27.24932
Atpif1,1011.592,1144.766,1477.096,928.7858,890.1149,1148.832,888.8798,877.4667,801.3494,953.3492,1130.611,1088.496,860.021,873.0827,738.8037,2071.203,2467.993,2511.692,2011.627,2168.367,2019.393
Atp5g2,993.59,1334.495,1267.668,920.4626,945.1257,948.3398,906.5544,968.7805,954.2557,924.322,865.6366,995.3292,680.6184,772.8538,693.7737,592.7897,620.5756,553.7638,498.4057,487.9841,476.4863
Rps5,973.139,1148.443,1093.315,604.6346,662.1512,670.877,700.1765,808.8139,717.7988,935.7401,920.7653,1111.298,411.4688,476.0627,447.9969,814.845,902.9842,752.7732,568.9105,479.2462,490.0279
Rps14,956.133,1304.313,1038.745,647.1912,661.9315,759.2415,660.3685,785.7001,654.2663,882.2717,1025.63,949.8503,547.0465,571.1586,507.2235,799.8145,891.9776,677.1563,632.2888,528.8538,584.1572
Rps25,946.6382,1042.297,1034.557,656.9264,740.0198,662.2587,722.1004,744.5552,741.1318,1084.997,1236.702,1235.778,498.607,536.947,588.769,851.6326,797.8478,719.7247,640.8652,683.6631,667.4329
Rpl8,944.2586,854.705,1002.831,586.5709,642.537,656.7989,691.896,747.3124,659.7152,720.5657,794.8246,766.0596,443.124,471.5126,435.5219,583.1271,689.6579,628.995,426.5629,389.9368,374.0844
Atp6v1f,943.747,839.1949,808.5095,833.8178,820.8184,929.8153,1049.929,1095.357,1119.338,1783.232,1912.513,1825.32,969.3259,1011.442,947.5353,931.0883,1015.293,886.0773,999.0935,1077.938,1038.876
Wdr89,938.8036,1111.823,964.8857,644.6193,619.2031,670.4114,642.801,657.4273,598.4022,855.2164,894.9069,867.9529,444.4482,474.1201,424.166,583.528,631.3802,555.9004,466.0775,435.5475,439.523
Ldha,920.3844,811.7612,796.7261,921.5073,809.8918,652.7932,517.9211,555.707,430.6728,1395.142,1232.03,1180.343,485.3119,591.73,582.8251,416.2224,425.2062,446.088,444.1167,470.1135,471.0929
Cox6a1,909.6183,817.5995,828.9503,721.3229,800.0016,847.2304,886.5362,963.764,919.5045,554.4289,711.5919,584.1491,384.4299,437.5096,413.9523,750.4257,808.9642,792.1287,924.7106,1034.562,1053.75
Sod1,895.2269,1032.254,1074.859,1062.585,1019.458,1053.15,954.4946,999.3148,933.4913,1017.621,1000.887,1081.555,1405.451,1488.957,1313.747,1064.132,1256.007,1113.173,1288.045,1402.605,1219.454
S100a6,892.4767,682.4309,314.8161,845.8692,702.0225,261.0367,979.9084,1030.533,408.0587,1041.937,1033.222,1065.799,1961.851,2121.119,1723.772,25.20133,30.22966,34.70237,42.84342,37.5389,49.28407
Rps3a1,883.1736,1089.583,787.9576,567.5486,547.3062,480.0665,544.9619,635.5256,513.7679,779.8676,773.6351,684.2051,342.5662,388.0777,370.3578,510.2654,530.748,493.2109,397.182,369.7552,383.2868
Dynlrb1,882.4776,977.2718,955.2259,844.8392,898.4291,979.5893,986.9519,986.6945,933.1044,479.7734,488.1624,442.5334,739.7642,728.5328,702.3297,1065.35,1070.829,1105.864,1026.03,1107.142,1014.588
Cd9,870.2493,905.2407,1068.919,455.7948,512.2858,531.319,343.5576,383.9327,388.895,244.7238,199.1405,244.3824,452.0592,447.9451,466.5219,25.33523,23.65514,22.10801,23.58653,19.74681,27.25026
Eif1b,863.2314,921.8362,920.3429,569.5957,534.9615,667.8811,591.6898,619.5944,669.6694,266.4765,252.2154,246.7301,475.7552,517.1998,443.1587,1527.727,1504.143,1454.02,1066.965,864.8641,826.3071
Bcas1,854.6401,679.7711,792.6091,701.4581,671.135,804.3201,380.3227,383.6149,440.5661,9.932366,13.14777,12.71098,10.59564,11.06053,8.561124,13.03111,13.1175,12.61114,12.34266,11.27396,12.51892
Rps19,837.7544,659.7324,855.2235,527.8135,542.9541,490.4314,580.0544,519.6999,521.2021,922.8912,1046.345,903.4786,325.3232,354.4348,362.8538,714.8466,795.2332,705.5507,455.9213,379.2057,361.4883
Olig1,836.4111,823.61,801.0117,808.3359,810.9985,773.1199,830.8699,886.3417,955.2807,20.73399,23.25798,22.61454,288.924,289.4204,293.6093,27.04811,24.08189,23.24399,36.59873,30.93612,48.15015
