gene_symbol,N1,N2,OPC1,OPC2,GC1,GC2,MOG1,MOG2,A1,A2,MGL1,MGL2,Endo1,Endo2
1110006O24Rik,0.224612,0.225736,0.668713,0.558506,1.209119,0.966808,0.688018,1.130897,1.159015,0.768977,0.199247,0.704685,0.703584,0.49529
1110007C09Rik,8.308807,9.731532,5.950087,5.925244,45.278024,55.814726,84.642106,85.66202,6.914821,6.723715,100.105053,99.562997,29.172422,32.726993
1110008F13Rik,36.221728,34.04296,36.710602,50.11662,33.621966,44.701231,36.224196,40.62408,47.532054,39.476902,46.477959,55.127386,46.994457,60.078625
1110008J03Rik,8.017564,7.790382,5.665435,8.886071,4.163242,6.425043,3.24348,3.334612,7.410624,5.422157,2.119159,3.14479,2.910269,3.829742
1110008L16Rik,1.169774,1.931082,2.122285,2.189365,2.019736,2.476293,0.722046,1.100325,3.021312,2.552088,1.06419,0.582915,4.294415,4.841713
1110008P14Rik,21.891344,18.318216,9.38993,16.430415,14.563018,18.307745,23.311832,28.65572,6.822113,6.40719,7.42493,11.964853,9.75085,10.957198
1110012D08Rik,3.367677,4.591422,14.643723,16.246667,12.212015,13.005655,9.138454,9.5846,33.049355,25.517904,10.715782,12.730822,20.566624,20.966245
1110012J17Rik,11.942233,21.869022,5.961521,6.545811,1.605666,2.204135,0.480056,0.896376,3.321208,2.422498,0.144443,0.204597,3.69505,3.185089
1110012L19Rik,4.887054,6.42509,5.18165,7.268593,5.896267,5.805474,7.256145,5.077152,4.301299,5.215553,2.247077,3.284647,10.115424,12.226076
1110014N23Rik,17.89393,18.266631,13.133036,18.505257,10.203941,15.01018,8.721106,10.825626,14.417123,14.218904,17.615904,26.612673,10.016113,10.435595
1110017D15Rik,1.375979,1.087327,0.641202,0.638368,0.160324,0.446313,0.252819,0.24189,0.708417,2.534229,0.372427,1.008004,0.536497,0.35155
1110017F19Rik,0.1,0.1,0.1,0.1,0.155382,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1110018G07Rik,13.477046,13.190886,18.503568,19.199687,19.928277,17.600456,11.339143,14.189915,15.156101,14.93814,9.117052,7.484697,5.583061,5.156296
1110018J18Rik,1.447365,1.193354,8.732988,8.214225,9.086697,6.932847,4.3681,4.130739,3.087074,3.971802,5.503327,4.041144,24.629901,26.610843
1110020A21Rik,0.707364,0.88728,0.729564,1.169523,0.405135,0.412565,0.297514,1.155495,0.831551,0.563212,0.140113,0.1,1.718338,1.400862
1110020G09Rik,6.230288,6.543985,12.306793,7.46714,6.322381,3.742121,2.971226,4.454335,28.450238,29.24575,2.327354,1.182108,4.815628,4.977033
1110021J02Rik,6.393321,7.764322,7.786255,6.273213,7.055247,6.775557,4.380106,5.209768,5.660041,5.386018,2.432204,2.289499,5.43125,4.873302
1110021L09Rik,5.371322,4.567796,10.716428,10.320779,2.629984,3.063478,0.397945,0.34959,11.241977,12.431047,1.689762,1.697597,2.334666,2.510708
